INPUT:question_id	INPUT:question
2025282	"What is the difference between px, dip, dp, and sp?

What is the difference between the units of measure
px, dip, dp, and sp?
"
1628563	"Move the most recent commit(s) to a new branch with Git

How do I move my recent commits on master to a new branch, and reset master to before those commits were made? e.g. From this:
master A - B - C - D - E

To this:
newbranch     C - D - E
             /
master A - B 

"
630453	"What is the difference between POST and PUT in HTTP?

According to RFC 2616, § 9.5, POST is used to create a resource:

The POST method is used to request that the origin server accept the entity enclosed in the request as a new subordinate of the resource identified by the Request-URI in the Request-Line.

According to RFC 2616, § 9.6, PUT is used to create or replace a resource:

The PUT method requests that the enclosed entity be stored under the supplied Request-URI. If the Request-URI refers to an already existing resource, the enclosed entity SHOULD be considered as a modified version of the one residing on the origin server. If the Request-URI does not point to an existing resource, and that URI is capable of being defined as a new resource by the requesting user agent, the origin server can create the resource with that URI.

So which HTTP method should be used to create a resource? Or should both be supported?
"
950087	"How do I include a JavaScript file in another JavaScript file?

How do I include a JavaScript file inside another JavaScript file, similar to @import in CSS?
"
762011	"What is the difference between ""let"" and ""var""?

ECMAScript 6 introduced the let statement.
I've heard that it's described as a local variable, but I'm still not quite sure how it behaves differently than the var keyword.
What are the differences? When should let be used instead of var?
"
52704	"How do I discard unstaged changes in Git?

How do I discard changes in my working copy that are not in the index?
"
59895	"How do I get the directory where a Bash script is located from within the script itself?

How do I get the path of the directory in which a Bash script is located, inside that script?
I want to use a Bash script as a launcher for another application. I want to change the working directory to the one where the Bash script is located, so I can operate on the files in that directory, like so:
$ ./application

"
89228	"How do I execute a program or call a system command?

How do I call an external command within Python as if I had typed it in a shell or command prompt?
"
2432764	"How do I change the URI (URL) for a remote Git repository?

I have a repo (origin) on a USB key that I cloned on my hard drive (local). I moved ""origin"" to a NAS and successfully tested cloning it from here.
I would like to know if I can change the URI of ""origin"" in the settings of ""local"" so it will now pull from the NAS, and not from the USB key.
For now, I can see two solutions:

push everything to the USB origin, and copy it to the NAS again (implies a lot of work due to new commits to NAS origin);

add a new remote to ""local"" and delete the old one (I fear I'll break my history).


"
359494	"Which equals operator (== vs ===) should be used in JavaScript comparisons?

I'm using JSLint to go through JavaScript, and it's returning many suggestions to replace == (two equals signs) with === (three equals signs) when doing things like comparing idSele_UNVEHtype.value.length == 0 inside of an if statement.

Is there a performance benefit to replacing == with ===? 

Any performance improvement would be welcomed as many comparison operators exist.

If no type conversion takes place, would there be a performance gain over ==?
"
417142	"What is the maximum length of a URL in different browsers?

What is the maximum length of a URL for each browser?
Is a maximum URL length part of the HTTP specification?
"
9329446	"Loop over an array in JavaScript

How can I loop through all the entries in an array using JavaScript?
"
549	"The definitive guide to form-based website authentication


Moderator note:
This question is not a good fit for our question and answer format with the topicality rules which currently apply for Stack Overflow. We normally use a ""historical lock"" for such questions where the content still has value. However, the answers on this question are actively maintained and a historical lock doesn't permit editing of the answers. As such, a ""wiki answer"" lock has been applied to allow the answers to be edited. You should assume the topicality issues which are normally handled by a historical lock are present (i.e. this question not a good example of an on-topic question for Stack Overflow).

Form-based authentication for websites
We believe that Stack Overflow should not just be a resource for very specific technical questions, but also for general guidelines on how to solve variations on common problems. ""Form based authentication for websites"" should be a fine topic for such an experiment.
It should include topics such as:

How to log in
How to log out
How to remain logged in
Managing cookies (including recommended settings)
SSL/HTTPS encryption
How to store passwords
Using secret questions
Forgotten username/password functionality
Use of nonces to prevent cross-site request forgeries (CSRF)
OpenID
""Remember me"" checkbox
Browser autocompletion of usernames and passwords
Secret URLs (public URL protected by digest)
Checking password strength
E-mail validation
and much more about form based authentication...

It should not include things like:

Roles and authorization
HTTP basic authentication

Please help us by:

Suggesting subtopics
Submitting good articles about this subject
Editing the official answer

"
215718	"How do I reset or revert a file to a specific revision?

How do I revert a modified file to its previous revision at a specific commit hash (which I determined via git log and git diff)?
"
46155	"How can I validate an email address in JavaScript?

I'd like to check if the user input is an email address in JavaScript, before sending it to a server or attempting to send an email to it, to prevent the most basic mistyping. How could I achieve this?
"
273192	"How can I safely create a nested directory?

I am writing a file using Python. How do I check:

if the parent file directory exists
if it does not - create the directory

"
2765421	"How do I push a new local branch to a remote Git repository and track it too?

How do I:

Create a local branch from another branch (via git branch or git checkout -b).

Push the local branch
to the remote repository (i.e. publish), but make it
trackable so that git pull and git push will work.


"
1144783	"How do I replace all occurrences of a string in JavaScript?

Given a string:
s = ""Test abc test test abc test test test abc test test abc"";

This seems to only remove the first occurrence of abc in the string above:
s = s.replace('abc', '');

How do I replace all occurrences of it?
"
487258	"What is a plain English explanation of ""Big O"" notation?

I'd prefer as little formal definition as possible and simple mathematics.
"
1628088	"Reset local repository branch to be just like remote repository HEAD

How do I reset my local branch to be just like the branch on the remote repository?
I tried:
git reset --hard HEAD

But git status claims I have modified files:
On branch master
Changes to be committed:
  (use ""git reset HEAD <file>..."" to unstage)
      modified:   java/com/mycompany/TestContacts.java
      modified:   java/com/mycompany/TestParser.java

"
161813	"How do I resolve merge conflicts in a Git repository?

How do I resolve merge conflicts in my Git repository?
"
4089430	"How to determine the URL that a local Git repository was originally cloned from

I pulled a project with several forks on GitHub, but forgot which fork it was. How do I determine which fork I pulled?
"
122102	"What is the most efficient way to deep clone an object in JavaScript?

What is the most efficient way to clone a JavaScript object? I've seen obj = eval(uneval(o)); being used, but that's non-standard and only supported by Firefox. I've done things like obj = JSON.parse(JSON.stringify(o)); but question the efficiency.  I've also seen recursive copying functions with various flaws.

I'm surprised no canonical solution exists.
"
38549	"What is the difference between ""INNER JOIN"" and ""OUTER JOIN""?

Also, how do LEFT OUTER JOIN, RIGHT OUTER JOIN, and FULL OUTER JOIN fit in?
"
406230	"Regular expression to match a line that doesn't contain a word

I know it's possible to match a word and then reverse the matches using other tools (e.g. grep -v). However, is it possible to match lines that do not contain a specific word, e.g. hede, using a regular expression?
Input:
hoho
hihi
haha
hede

Code:
grep ""<Regex for 'doesn't contain hede'>"" input

Desired output:
hoho
hihi
haha

"
115983	"How do I add an empty directory to a Git repository?

How do I add an empty directory (that contains no files) to a Git repository?
"
105034	"How do I create a GUID / UUID?

How do I create GUIDs (globally-unique identifiers) in JavaScript? The GUID / UUID should be at least 32 characters and should stay in the ASCII range to avoid trouble when passing them around.
I'm not sure what routines are available on all browsers, how ""random"" and seeded the built-in random number generator is, etc.
"
901712	"How do I check whether a checkbox is checked in jQuery?

I need to check the checked property of a checkbox and perform an action based on the checked property using jQuery.
For example, if the age checkbox is checked, then I need to show a textbox to enter age, else hide the textbox.
But the following code returns false by default:


if ($('#isAgeSelected').attr('checked')) {
  $(""#txtAge"").show();
} else {
  $(""#txtAge"").hide();
}
<script src=""https://ajax.googleapis.com/ajax/libs/jquery/2.1.1/jquery.min.js""></script>
<input type=""checkbox"" id=""isAgeSelected""/>
<div id=""txtAge"" style=""display:none"">
  Age is selected
</div>



How do I successfully query the checked property?
"
522563	"Accessing the index in 'for' loops

How do I access the index while iterating over a sequence with a for loop?
xs = [8, 23, 45]

for x in xs:
    print(""item #{} = {}"".format(index, x))

Desired output:
item #1 = 8
item #2 = 23
item #3 = 45

"
3737139	"Reference — What does this symbol mean in PHP?

What is this?
This is a collection of questions that come up every now and then about syntax in PHP. This is also a Community Wiki, so everyone is invited to participate in maintaining this list.
Why is this?
It used to be hard to find questions about operators and other syntax tokens.¹
The main idea is to have links to existing questions on Stack Overflow, so it's easier for us to reference them, not to copy over content from the PHP Manual.
Note: Since January 2013, Stack Overflow does support special characters. Just surround the search terms by quotes, e.g. [php] ""=="" vs ""===""
What should I do here?
If you have been pointed here by someone because you have asked such a question, please find the particular syntax below. The linked pages to the PHP manual along with the linked questions will likely answer your question then. If so, you are encouraged to upvote the answer. This list is not meant as a substitute for the help others provided.
The List
If your particular token is not listed below, you might find it in the List of Parser Tokens.

& Bitwise Operators or References

What does it mean to start a PHP function with an ampersand?
Understanding PHP & (ampersand, bitwise and) operator
PHP ""&"" operator
Difference between & and && in PHP
What does ""&"" mean here in PHP?
What does ""&"" mean in this case?
What does the ""&"" sign mean in PHP?
What does this signature mean (&) in PHP?
How does the ""&"" operator work in a PHP function?
What does & in &2 mean in PHP?
When should I use a bitwise operator?
Is there ever a need to use ampersand in front of an object? (&$)


=& References

Reference assignment operator in PHP, =&
What do the ""=&"" and ""&="" operators in PHP mean?
What do the '&=' and '=&' operators do?
What does =& mean in PHP?


&= Bitwise Operators

What do the ""=&"" and ""&="" operators in PHP mean?
What do the '&=' and '=&' operators do?


&& Logical Operators

'AND' vs '&&' as operator
Difference between & and && in PHP
Is there any difference between ""and"" and ""&&"" operators in PHP?
PHP - and / or keywords


% Arithmetic Operators

What does the percent sign mean in PHP?
What is the PHP operator % and how do I use it in real-world examples?


!! Logical Operators

Double not (!!) operator in PHP


@ Error Control Operators

What is the use of the @ symbol in PHP?
'At' symbol before variable name in PHP: @$_POST
PHP functions and @functions
Should I use @ in my PHP code?
What does @ mean in PHP?


?: Ternary Operator

What are the PHP operators ""?"" and "":"" called and what do they do?
?: operator (the 'Elvis operator') in PHP
Where can I read about conditionals done with ""?"" and "":"" (colon)?
Using PHP 5.3 ?: operator


?? Null Coalesce Operator (since PHP 7)

C#'s null coalescing operator (??) in PHP


?string
?int
?array
?bool
?float Nullable return type declaration (since PHP 7.1)

Nullable return type declaration
Nullable parameter type declaration
php method argument type hinting with question mark (?type)


: Alternative syntax for control structures, Ternary Operator, Return Type Declaration

What is "":"" in PHP?
What does "":"" mean in PHP?
Colon after method declaration?


:: Scope Resolution Operator

What do two colons mean in PHP?
What's the meaning of the PHP token name T_PAAMAYIM_NEKUDOTAYIM?
What's the difference between :: (double colon) and -> (arrow) in PHP?
What exactly are late static bindings in PHP?
static::staticFunctionName()
Unexpected T_PAAMAYIM_NEKUDOTAYIM, expecting T_NS_Separator


\ Namespaces

Backslash in PHP -- what does it mean?
What does a \ (backslash) do in PHP (5.3+)?


-> Classes And Objects

What is the ""->"" PHP operator called?
Where do we use the object operator ""->"" in PHP?
What's the difference between :: (double colon) and -> (arrow) in PHP?
What does the PHP syntax $var1->$var2 mean?
What does ""->"" mean/refer to in PHP?


=> Arrays

What does ""=>"" mean in PHP?
Use of => in PHP
What does $k => $v in foreach($ex as $k=>$v) mean?


^ Bitwise Operators

How does the bitwise operator XOR ('^') work?
What does ^ mean in PHP?


>> Bitwise Operators

What does >> mean in PHP?


<< Bitwise Operators

Strange print behaviour in PHP?


<<< Heredoc or Nowdoc

What does <<<END mean in PHP?
PHP expression <<<EOB
In PHP, what does ""<<<"" represent?
Using <<<CON in PHP
What's this kind of syntax in PHP?


= Assignment Operators

The 3 different equals


== Comparison Operators

How do the PHP equality (== double equals) and identity (=== triple equals) comparison operators differ?
PHP != and == operators
The 3 different equals
Type-juggling and (strict) greater/lesser-than comparisons in PHP


=== Comparison Operators

What does ""==="" mean?
How do the PHP equality (== double equals) and identity (=== triple equals) comparison operators differ?
The 3 different equals
Type-juggling and (strict) greater/lesser-than comparisons in PHP


!== Comparison Operators

What does !== comparison operator in PHP mean?
Is there a difference between !== and != in PHP?


!= Comparison Operators

PHP != and == operators
Is there a difference between !== and != in PHP?
comparing, !== versus !=
What is the difference between <> and !=


<> Comparison Operators

PHP operator <>
PHP's <> operator
What is the difference between <> and !=
Type-juggling and (strict) greater/lesser-than comparisons in PHP


<=> Comparison Operators (since PHP 7.0)

Spaceship (three way comparison) operator


| Bitwise Operators

What is the difference between the | and || operators?
What Does Using A Single Pipe '|' In A Function Argument Do?


|| Logical Operators

What is the difference between the | and || operators?
PHP - and / or keywords
What exactly does || mean?
The behaviour of the or operator in PHP


~ Bitwise Operators

What does this ~ operator mean here?


+ Arithmetic Operators, Array Operators

+ operator for array in PHP?


+= and -= Assignment Operators

What is += used for?
What does `$page -= 1` in my PHP document mean?


++ and -- Incrementing/Decrementing Operators

Understanding Incrementing
Answer below


.= Assignment Operators

What is the difference between .= and += in PHP?
To understand a line of PHP


. String Operators

Difference between period and comma when concatenating with echo versus return?
What does a . (dot) do in PHP?


, Function Arguments

Difference between period and comma when concatenating with echo versus return?

, Variable Declarations

What do commas mean in a variable declaration?


$$ Variable Variables

What does $$ (dollar dollar or double dollar) mean in PHP?
what is ""$$"" in PHP
$function() and $$variable


` Execution Operator

What are the backticks `` called?


<?= Short Open Tags

What does this symbol mean in PHP <?=
What does '<?=' mean in PHP?
What does <?= mean?


[] Arrays (short syntax since PHP 5.4)

PHP arrays... What is/are the meaning(s) of an empty bracket?
What is the meaning of []
Php array_push() vs myArray[]
What does [] mean when reading from a PHP array?
Shorthand for arrays: literal $var = [] empty array


<? Opening and Closing tags

Are PHP short tags acceptable to use?


.. Double-dot character range

Native PHP functions that allow double-dot range syntax


... Argument unpacking (since PHP 5.6)

** Exponentiation (since PHP 5.6)

# One-line shell-style comment

Can I use hashes for comments in PHP?


?-> NullSafe Operator Calls (since PHP 8.0)

Is there a ""nullsafe operator"" in PHP?


"
952914	"How do I make a flat list out of a list of lists?

I have a list of lists like [[1, 2, 3], [4, 5, 6], [7], [8, 9]]. How can I flatten it to get [1, 2, 3, 4, 5, 6, 7, 8, 9]?

If your list of lists comes from a nested list comprehension, the problem can be solved more simply/directly by fixing the comprehension; please see python list comprehensions; compressing a list of lists?.
The most popular solutions here generally only flatten one ""level"" of the nested list. See Flatten an irregular (arbitrarily nested) list of lists for solutions that completely flatten a deeply nested structure (recursively, in general).
"
11828270	"How do I exit Vim?

I am stuck and cannot escape. It says:
type :quit<Enter> to quit VIM

But when I type that it simply appears in the object body.
"
114543	"How can I horizontally center an element?

How can I horizontally center a <div> within another <div> using CSS?
<div id=""outer"">
  <div id=""inner"">Foo foo</div>
</div>


"
5189560	"How do I squash my last N commits together?

How do I squash my last N commits together into one commit?
"
22343224	"What's the difference between tilde(~) and caret(^) in package.json?

After I upgraded to the latest stable node and npm, I tried npm install moment --save. It saves the entry in the package.json with the caret ^ prefix. Previously, it was a tilde ~ prefix.

Why are these changes made in npm?
What is the difference between tilde ~ and caret ^?
What are the advantages over others?

"
176264	"What is the difference between a URI, a URL, and a URN?

What is the difference between a URL, a URI, and a URN?
"
237104	"How do I check if an array includes a value in JavaScript?

What is the most concise and efficient way to find out if a JavaScript array contains a value?
This is the only way I know to do it:
function contains(a, obj) {
    for (var i = 0; i < a.length; i++) {
        if (a[i] === obj) {
            return true;
        }
    }
    return false;
}

Is there a better and more concise way to accomplish this?
This is very closely related to Stack Overflow question Best way to find an item in a JavaScript Array? which addresses finding objects in an array using indexOf.
"
4456438	"How to pass ""Null"" (a real surname!) to a SOAP web service in ActionScript 3

We have an employee whose surname is Null. Our employee lookup application is killed when that last name is used as the search term (which happens to be quite often now). The error received (thanks Fiddler!) is:

<soapenv:Fault>
   <faultcode>soapenv:Server.userException</faultcode>
   <faultstring>coldfusion.xml.rpc.CFCInvocationException: [coldfusion.runtime.MissingArgumentException : The SEARCHSTRING parameter to the getFacultyNames function is required but was not passed in.]</faultstring>


Cute, huh?

The parameter type is string.

I am using:


WSDL (SOAP)
Flex 3.5
ActionScript 3
ColdFusion 8


Note that the error does not occur when calling the webservice as an object from a ColdFusion page.
"
2389361	"Undo a Git merge that hasn't been pushed yet

I accidentally ran git merge some_other_branch on my local master branch. I haven't pushed the changes to origin master. How do I undo the merge?

After merging, git status says:
# On branch master
# Your branch is ahead of 'origin/master' by 5 commits.

How do I undo all these commits?
"
221294	"How do I get a timestamp in JavaScript?

I want a single number that represents the current date and time, like a Unix timestamp.
"
67699	"How do I clone all remote branches?

My master and development branches are tracked remotely on GitHub. How do I clone both these branches?
"
309424	"How do I read / convert an InputStream into a String in Java?

If you have a java.io.InputStream object, how should you process that object and produce a String?

Suppose I have an InputStream that contains text data, and I want to convert it to a String, so for example I can write that to a log file.
What is the easiest way to take the InputStream and convert it to a String?
public String convertStreamToString(InputStream is) {
// ???
}

"
